2021-06-26 23:06:549 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-26 23:06:809 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-26 23:06:594 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-26 23:06:111 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-26 23:06:482 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-26 23:06:277 INFO  HomePage :25 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (729c801618b04baeaa88d9b03c060bc8)] -> link text: Log in]
2021-06-26 23:06:336 INFO  LoginPage :54 - Getting text from : [[ChromeDriver: chrome on WINDOWS (729c801618b04baeaa88d9b03c060bc8)] -> xpath: //div[@class='page-title']//h1]
2021-06-26 23:06:648 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-26 23:06:664 INFO  HomePage :25 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (0841238fe788e22bddb34fc54004e7c2)] -> link text: Log in]
2021-06-26 23:06:718 INFO  LoginPage :54 - Getting text from : [[ChromeDriver: chrome on WINDOWS (0841238fe788e22bddb34fc54004e7c2)] -> xpath: //div[@class='page-title']//h1]
2021-06-27 21:06:153 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 21:06:20 INFO  DesktopPage :38 - Clicking on computer lin : [[ChromeDriver: chrome on WINDOWS (6880eed4b137bad3051bc35a8a54c12c)] -> link text: Computers]
2021-06-27 21:06:126 INFO  DesktopPage :56 - Verify user navigate to computer page successfully : [[ChromeDriver: chrome on WINDOWS (6880eed4b137bad3051bc35a8a54c12c)] -> partial link text: Computers]
2021-06-27 21:06:554 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 21:06:704 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 21:06:301 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 21:06:954 INFO  BasePage :33 - Launching Chrome Browser 
2021-06-27 21:06:775 INFO  BasePage :33 - Launching Chrome Browser 
